urlkey,dayrow,timestamp,date,month,original,mimetype,statuscode,digest,length,key,fulllink,linkfull,Response,VariableCount,TheColumns
"info,worldometers)/coronavirus",1,2.02E+13,20200305,202003,https://www.worldometers.info/coronavirus/,text/html,200,54AG5XQUXFMVL2C76D7XJ6JLAV4GSWBS,81453,2.02E+13,https://web.archive.org/web/20200305000656/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200305000656/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200306,202003,https://www.worldometers.info/coronavirus/,text/html,200,OWTOXX77BWBFOD3ZYNS6QUANFFV6GVUV,88284,2.02E+13,https://web.archive.org/web/20200306001034/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200306001034/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200307,202003,https://www.worldometers.info/coronavirus/,text/html,200,EH5QSVEK76E6DXQUNMHXOANY72YVQQ4R,95935,2.02E+13,https://web.archive.org/web/20200307001626/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200307001626/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200308,202003,https://www.worldometers.info/coronavirus/,text/html,200,FOPCNHGPO457UXI4FO2K2MQFTA6LLV4M,106064,2.02E+13,https://web.archive.org/web/20200308002441/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200308002441/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200309,202003,https://www.worldometers.info/coronavirus/,text/html,200,SYJQJBNVP77NEP4TV3437BURJQUYM7V6,133557,2.02E+13,https://web.archive.org/web/20200309000438/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200309000438/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200310,202003,https://www.worldometers.info/coronavirus/,text/html,200,XET5YAOPV77EIH7WARWLGOHSOUS5L74P,80504,2.02E+13,https://web.archive.org/web/20200310000045/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200310000045/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200311,202003,https://www.worldometers.info/coronavirus/,text/html,200,WNHFAU7THEVQHJOL52V223Z3BQJHOS64,105047,2.02E+13,https://web.archive.org/web/20200311000055/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200311000055/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200312,202003,https://www.worldometers.info/coronavirus/,text/html,200,A2MU36EJVMMS2L47IRQLTCJLB6KW7UN4,114634,2.02E+13,https://web.archive.org/web/20200312000233/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200312000233/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200313,202003,https://www.worldometers.info/coronavirus/,text/html,200,Y4IPMBTKWPHP3AWMNAJA76FKRJJVLLDB,123674,2.02E+13,https://web.archive.org/web/20200313001451/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200313001451/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
"info,worldometers)/coronavirus",1,2.02E+13,20200314,202003,https://www.worldometers.info/coronavirus/,text/html,200,4YA5RH2NPTI332Y23UEW6TDJMTSILBN6,115598,2.02E+13,https://web.archive.org/web/20200314011147/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200314011147/https://www.worldometers.info/coronavirus/,200,9,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'ActiveCases', 'Serious,Critical', 'Tot\xa0Cases/1M pop']"
